date,Filename,frequency,amount,vgender,vhonor,emo_sim,bvtextsim,bvemosim,livetype,timeslot,bgender,numberviewers,numberlikes,wordcount,danmu_num
0908_11-14,0908_02_03,0,0,,,0.372782027,0.266729569,0.5091386,1,0,0,22.66666667,0,671,0
0908_11-14,0908_02_04,0,0,1,4.333333333,0.350657868,0.444908148,0.6727851,1,0,0,20.66666667,0,727,2
0908_11-14,0908_02_05,0,0,1,14.5,0.345003071,0.575294828,0.7652534,1,0,0,20,3,651,5
0908_11-14,0908_02_06,0,0,0,7.4,0.383044911,0.636011457,0.68118584,1,0,0,20.33333333,0,612,4
0908_11-14,0908_02_07,0,0,0,4.090909091,0.310566093,0.533502972,0.7557091,1,0,0,23.33333333,1,669,8
0908_11-14,0908_02_08,0,0,1,6.428571429,0.362374835,0.559506571,0.6754577,1,0,0,19.66666667,0,762,8
0908_11-14,0908_02_09,0,0,,18.5,0.413830779,0.530626959,0.6313212,1,0,0,20.33333333,0,773,8
0908_11-14,0908_02_10,0,0,0,4,0.32975836,0.429780579,0.680919,1,0,0,21.33333333,0,775,2
0908_11-14,0908_02_11,0,0,0,6.75,0.369959264,0.469587958,0.4829955,1,0,0,18.33333333,0,687,4
0908_11-14,0908_02_12,2,2,0,11.66666667,0.276169186,0.444759583,0.7976273,1,0,0,15,0,596,3
0908_11-14,0908_02_13,0,0,,9,0.1955102,0.392791545,0.83114797,1,0,0,11,0,145,2
0908_11-14,0908_03_05,39,39,0.48125,11.41828255,0.304787041,0.473051226,0.50468373,1,0,0,6426.666667,336,736,66
0908_11-14,0908_03_06,116,136,0.496124031,10.59732541,0.353364717,0.735190427,0.81594243,1,0,0,6216.666667,358,779,281
0908_11-14,0908_03_07,58,74,0.346666667,9.778210117,0.360557543,0.401344186,0.74462156,1,0,0,6358,341,761,173
0908_11-14,0908_03_08,52,52,0.395744681,10.2993763,0.364609397,0.405406004,0.7199165,1,0,0,6901.666667,349,720,85
0908_11-14,0908_05_00,18,20,0.114583333,9.260162602,0.368901113,0.576723492,0.5845967,1,0,0,2260.333333,113,431,13
0908_11-14,0908_05_01,14,14,0.050724638,10.79146919,0.326805486,0.649088717,0.4532349,1,0,0,2268.666667,157,655,49
0908_11-14,0908_05_02,11,27,0.133333333,7.366013072,0.348879718,0.594943202,0.6403153,1,0,0,2248.666667,111,451,34
0908_11-14,0908_05_03,6,6,0.733333333,10.01515152,0.251863714,0.567660129,0.71636677,1,0,0,2216,29,601,35
0908_11-14,0908_05_04,1,1,0.25,8.955555556,0.306953631,0.582557029,0.5793017,1,0,0,2217.333333,21,662,22
0908_11-14,0908_05_06,32,84,0.224299065,11.9,0.352642952,0.566307998,0.5700056,1,0,0,2103,224,573,55
0908_11-14,0908_05_07,15,15,0.692307692,13.656,0.380912636,0.52233184,0.8347765,1,0,0,1945.333333,248,549,20
0908_11-14,0908_05_08,12,12,0.229508197,12.78169014,0.283198011,0.540264225,0.7804186,1,0,0,1844,110,546,32
